# Measured from a CS2 spray plot supplied by Sid on 2026-09-21.
# Dot positions read off the plot; shot order from the plot's
# saturation ramp, where the last round is the most saturated.
#
# SCALE IS THE ONE ESTIMATED NUMBER HERE. The plot carries no
# angular scale, so both patterns are scaled together by assuming
# the AK-47 climbs 16.0 degrees from first shot to the top of the
# pattern. The SHAPE is measured; the SIZE is not. To correct it,
# set recoil_scale on the weapon rather than editing these rows.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.2542,0.5055
2,0.0026,1.9531
3,0.1631,4.1515
4,0.2486,6.6113
5,-0.6829,8.7215
6,-1.2827,10.7515
7,-2.2181,12.1975
8,-1.1087,13.6378
9,2.1886,13.2109
10,3.7230,13.6369
11,2.7059,14.2266
12,3.8886,14.3145
13,5.9126,14.1398
14,6.1727,14.3118
15,3.3799,14.6579
16,1.5985,14.9092
17,-1.2866,15.6732
18,0.5849,15.3154
19,-2.3846,14.9888
20,-3.9969,14.8236
21,-2.7158,14.9087
22,-2.1334,15.3312
23,-1.6190,16.0000
24,-3.0688,15.6754
25,-3.3915,15.7553
26,-1.8675,15.7581
27,0.4809,15.5221
28,3.8084,14.6595
29,5.0675,14.3980
