# AK-47 (weapon_ak47): 30 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/ak47.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,-0.0077,1.9030
3,0.1749,4.0950
4,0.2520,6.4295
5,-0.6498,8.8530
6,-1.2689,10.8827
7,-2.2300,12.3330
8,-0.9930,13.4390
9,2.0861,13.0715
10,3.7836,13.7405
11,2.7987,14.3133
12,3.9903,14.4400
13,5.9553,13.7431
14,6.1340,14.1351
15,3.4095,14.7222
16,1.7058,15.1180
17,0.6576,15.5388
18,-1.2905,15.3319
19,-3.8456,14.7022
20,-2.4475,15.1113
21,-2.8195,15.0998
22,-2.1901,15.5330
23,-1.5271,15.6861
24,-3.0137,15.4807
25,-3.5166,15.8750
26,-1.9541,15.9197
27,0.4622,15.7207
28,3.9141,14.1725
29,4.9690,14.1869
