# AUG (weapon_aug): 30 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/aug.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,-0.2245,0.9807
3,0.0090,2.1959
4,0.4346,3.7882
5,-0.0026,5.7320
6,-0.4390,7.3715
7,-1.3008,8.5628
8,-1.6683,9.4628
9,-2.5328,10.0001
10,-1.3122,10.6698
11,-0.9709,10.9899
12,-1.9738,11.0297
13,-1.8912,11.1353
14,-0.3694,11.1815
15,1.9182,10.7430
16,3.8781,10.0143
17,3.6969,10.3138
18,3.7849,10.4815
19,4.3238,10.5411
20,2.7659,11.0600
21,0.4377,10.8634
22,-0.0576,11.1240
23,0.3704,11.1339
24,-0.5921,11.1892
25,-2.5494,10.9130
26,-3.7527,10.5410
27,-2.2757,10.7859
28,-1.0781,10.8895
29,-0.9924,11.2118
