# PP-Bizon (weapon_bizon): 64 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/bizon.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.2817,0.5633
3,0.4966,1.1157
4,1.0497,2.0315
5,2.0540,3.0808
6,1.8118,4.5978
7,1.0999,6.0079
8,1.0740,7.2466
9,-0.2677,7.6593
10,-1.3466,8.0463
11,-1.7113,8.6650
12,-2.8428,8.8633
13,-2.3482,9.3976
14,-0.3820,9.3138
15,-0.3394,9.5299
16,-1.3462,9.5811
17,-1.7925,9.8705
18,-1.4688,10.0324
19,-1.9681,9.9962
20,-2.9285,9.9035
21,-4.0130,9.5513
22,-4.6224,9.5895
23,-5.1110,9.5058
24,-5.6819,9.4090
25,-5.8154,9.4319
26,-5.4757,9.3720
27,-5.0969,9.4259
28,-4.9510,9.6088
29,-3.3762,9.8583
30,-3.1287,10.0267
31,-3.0554,10.2783
32,-3.8084,10.1568
33,-2.6872,10.2621
34,-2.8345,10.2365
35,-3.2406,9.7307
36,-2.2046,9.5628
37,-2.3390,9.5909
38,-1.7599,9.9500
39,-1.9296,10.1013
40,-3.0959,9.6180
41,-4.0821,9.3841
42,-5.0821,8.9737
43,-5.5377,8.6003
44,-4.8849,8.8668
45,-4.9708,9.1173
46,-5.7083,8.8282
47,-6.5532,8.4844
48,-5.2272,8.9661
49,-3.8239,9.3845
50,-3.7152,9.6008
51,-4.1878,9.4994
52,-4.1036,9.3502
53,-4.1426,9.2476
54,-4.7927,8.9673
55,-3.8706,9.1922
56,-2.8658,9.5374
57,-1.6122,9.7718
58,0.3038,9.4426
59,0.7229,9.6009
60,0.3842,9.6955
61,-0.7183,9.4657
62,-0.1017,9.4114
63,0.2971,9.7034
