# CZ75-Auto (weapon_cz75a): 12 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/cz75.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,1.7613,1.0731
3,1.3081,3.0479
4,-0.9963,3.1508
5,-3.1071,5.0093
6,-0.7058,6.8721
7,1.1265,8.5288
8,3.9465,9.4894
9,2.0928,11.1793
10,3.4251,12.9380
11,3.7228,14.1269
