# FAMAS (weapon_famas): 25 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/famas.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.py: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.2164,0.6209
3,0.6694,1.3576
4,0.7504,2.6116
5,0.6832,4.1991
6,-0.3095,5.5851
7,-1.4804,6.3809
8,-0.9653,7.2897
9,0.4002,7.8998
10,1.6625,8.3316
11,2.6302,8.4632
12,2.2779,8.9017
13,0.5620,9.1935
14,-0.2428,9.5621
15,-1.7606,9.3423
16,-2.1782,9.3742
17,-3.2747,9.4210
18,-3.5294,9.7435
19,-3.1904,9.9671
20,-1.3313,9.8399
21,-1.1401,10.1059
22,-1.9539,10.0221
23,-3.0511,9.5707
24,-4.2061,8.7222
