# Galil AR (weapon_galilar): 35 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/galil.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,-0.1280,0.6555
3,-0.5776,1.4437
4,-1.4440,2.4992
5,-1.4247,4.1081
6,-1.5079,5.9657
7,-2.0158,7.2431
8,-2.8521,7.8634
9,-2.5322,8.8813
10,-0.8644,9.5878
11,1.3368,9.2516
12,3.5387,8.4641
13,4.2576,8.9352
14,5.1738,9.1561
15,5.6294,9.1371
16,5.6524,9.2741
17,5.3446,9.8238
18,3.3937,10.3166
19,2.3874,10.5448
20,0.5133,10.3245
21,-1.7494,9.6754
22,-2.1851,9.8806
23,-1.3377,10.2113
24,-2.2963,10.0141
25,-3.0778,10.2037
26,-4.3941,9.9297
27,-3.5500,10.0349
28,-1.0449,9.5534
29,0.7230,9.3412
30,1.7714,9.8052
31,1.2832,10.4159
32,2.3732,10.1767
33,4.1040,9.1283
34,5.1676,9.0121
