# M249 (weapon_m249): 100 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/m249.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.9019,1.2689
3,1.8277,2.7900
4,3.1364,4.6721
5,4.4629,6.5934
6,3.7408,8.5890
7,1.9610,10.2914
8,0.0505,11.5844
9,-1.6377,12.6176
10,-2.5004,13.3462
11,-3.0718,14.3748
12,-1.6659,15.0807
13,-1.7499,15.7496
14,-2.3076,16.3908
15,-2.7102,16.8956
16,-3.5059,17.2701
17,-3.5442,17.4557
18,-3.1962,17.0342
19,-1.8750,16.8602
20,0.4531,16.4359
21,0.7968,16.5862
22,1.5057,16.8572
23,2.9978,16.9036
24,4.2224,16.9054
25,4.8139,17.0069
26,3.8771,16.7925
27,1.3793,16.3271
28,0.5755,16.3182
29,0.8676,16.4992
30,-0.1319,16.4805
31,-2.1441,16.1128
32,-2.4562,16.3435
33,-1.7419,16.7833
34,-0.5207,17.2125
35,-0.9584,17.1448
36,-0.6255,17.0452
37,0.9344,16.8775
38,1.8682,17.0842
39,1.1539,17.3537
40,-0.1447,17.6016
41,-1.1300,18.0216
42,-0.0365,18.1679
43,-0.7307,17.8556
44,-2.4431,17.0503
45,-3.1668,16.8864
46,-2.6882,17.2664
47,-2.5618,17.6210
48,-1.9254,17.8434
49,-0.0294,17.5985
50,1.1553,17.2805
51,0.3135,17.0321
52,-0.3195,16.6033
53,-1.2823,16.4722
54,-2.0899,16.6856
55,-1.0491,16.8334
56,-1.2718,16.9990
57,-2.7496,16.8892
58,-4.3501,16.6212
59,-4.2256,16.9350
60,-3.0371,16.8081
61,-3.5390,16.6275
62,-4.1375,16.7455
63,-4.1525,17.0237
64,-3.4996,17.3622
65,-1.0471,16.0521
66,0.8976,14.6338
67,2.5036,13.4251
68,3.9936,12.7451
69,5.2114,12.1343
70,4.0919,12.3631
71,1.9995,12.9754
72,-0.0633,13.4820
73,-1.7782,14.2557
74,-2.7689,14.9190
75,-3.3981,15.6769
76,-1.9055,16.1260
77,-1.8201,16.1601
78,-2.3046,16.2388
79,-2.7071,16.6179
80,-3.5011,16.8606
81,-3.5285,17.1115
82,-3.3087,17.3087
83,-2.0109,17.4166
84,0.2970,17.1050
85,0.6995,17.1949
86,1.4795,16.8736
87,2.9050,16.5128
88,4.1332,16.3930
89,4.7275,16.5894
90,3.9745,16.8528
91,1.5426,16.7940
92,0.7327,16.8313
93,0.9489,16.9930
94,-0.1888,16.3506
95,-2.0607,15.6487
96,-2.4451,15.8324
97,-1.6633,16.2908
98,-0.4450,16.8086
99,-0.9686,17.2937
