# M4A4 (weapon_m4a1): 30 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/m4a4.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,-0.0983,1.1574
3,0.2661,2.3353
4,-0.1124,4.0358
5,0.4474,5.9839
6,0.7657,7.6992
7,-0.4265,8.7215
8,-1.1596,9.9013
9,-2.9460,10.3210
10,-2.4372,10.9088
11,-1.1280,11.2996
12,0.9063,11.3359
13,2.9702,11.1882
14,4.7625,10.5615
15,4.7727,10.7986
16,4.2574,11.5029
17,5.0915,11.4536
18,6.0108,10.9996
19,5.7509,11.1265
20,3.4759,11.5286
21,2.4794,11.9715
22,0.4203,11.8376
23,-0.1464,11.9420
24,-1.0053,12.3765
25,-0.1942,12.6245
26,-0.6211,12.6755
27,-0.9273,12.5983
28,-1.1145,12.9580
29,-1.5167,13.2023
