# M4A1-S (weapon_m4a1_silencer): 25 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/m4a1.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,-0.0585,0.7076
3,0.1736,1.5798
4,-0.0972,2.8289
5,0.3484,4.3608
6,0.5158,5.7706
7,-0.4008,6.6228
8,-0.9343,7.3790
9,-2.2330,7.4762
10,-1.7793,8.1833
11,-0.6718,8.5020
12,1.0295,8.3503
13,2.3667,8.0507
14,3.6240,7.6878
15,3.5324,8.2533
16,2.9077,8.5909
17,3.5834,8.4449
18,4.2894,8.0556
19,4.0137,8.3143
20,2.0663,8.6299
21,1.4383,8.7365
22,-0.0232,8.7720
23,-0.3531,8.8152
24,-0.9464,8.9649
