# MAC-10 (weapon_mac10): 30 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/mac10.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.py: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.4302,0.5083
3,0.1945,0.9134
4,-0.0422,1.9503
5,-0.8367,3.1841
6,-1.6697,4.9886
7,-2.3136,6.5415
8,-1.9436,7.8316
9,-2.5593,8.5929
10,-2.8806,9.3765
11,-3.1918,10.1967
12,-3.0427,10.7400
13,-2.8786,11.1175
14,-2.1551,11.2784
15,-0.5863,11.3118
16,1.5627,10.8545
17,1.6736,10.8239
18,2.5037,10.5487
19,2.0193,10.5733
20,2.4947,10.6649
21,3.5142,10.5725
22,4.2125,10.4992
23,2.9257,10.4920
24,1.9604,10.5912
25,0.9220,10.9492
26,-0.8749,10.8089
27,-0.9212,10.9218
28,0.6041,10.4392
29,0.4781,10.3992
