# MP5-SD (weapon_mp5sd): 30 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/mp5sd.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.py: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.0807,0.5825
3,0.2997,0.8229
4,0.6882,1.5087
5,1.3799,2.5627
6,1.3272,3.8226
7,2.0544,4.8001
8,2.2637,5.7940
9,3.0809,6.0029
10,3.5154,6.2951
11,2.9078,6.9117
12,1.4274,7.2692
13,0.0429,7.3410
14,-0.9484,7.4177
15,-1.0089,7.7937
16,-0.5444,8.2092
17,-0.3107,8.5452
18,0.0128,8.6148
19,-0.2832,8.5826
20,-0.1508,8.8552
21,0.9532,8.5513
22,2.4665,7.9138
23,2.7594,7.9158
24,3.4598,7.7360
25,3.3908,7.8518
26,3.4475,7.6077
27,3.3787,7.5864
28,3.7468,7.5890
29,3.7283,7.7817
