# MP9 (weapon_mp9): 30 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/mp9.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.2817,0.8201
3,0.0113,2.3352
4,0.1223,3.8233
5,-0.6250,5.6039
6,-0.5446,7.3028
7,0.0722,9.1158
8,-0.7025,10.3381
9,-2.4817,11.1030
10,-4.3446,11.0764
11,-6.4581,10.5950
12,-6.3494,11.3923
13,-6.4293,12.3163
14,-4.4752,12.9115
15,-3.4456,13.6587
16,-1.8821,14.2915
17,-0.7024,14.7382
18,0.9410,14.6397
19,3.4520,13.7982
20,3.0599,14.0412
21,1.6767,14.2389
22,-0.0878,14.3020
23,-0.2223,14.5113
24,1.1589,14.3496
25,3.3600,13.7728
26,3.8567,14.0633
27,4.7491,14.4515
28,3.9413,14.9078
29,3.5300,15.3339
