# Negev (weapon_negev): 150 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/negev.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.0000,0.4541
3,0.0000,1.5527
4,0.0000,2.9783
5,0.0000,4.4276
6,0.0000,6.2414
7,0.0000,7.6743
8,0.0000,8.7718
9,0.0000,9.6852
10,0.0000,10.4843
11,0.0000,11.3128
12,0.0000,11.6085
13,0.0000,11.6468
14,0.0000,11.6675
15,0.0000,11.9639
16,0.0000,12.3941
17,0.0000,12.4301
18,0.0000,12.4218
19,0.0000,12.2630
20,0.0000,12.0389
21,0.0000,12.1507
22,0.0000,12.2594
23,0.0000,12.1752
24,0.0000,12.2093
25,0.0000,12.2694
26,0.0000,12.4921
27,0.0000,12.6965
28,0.0000,12.6482
29,0.0000,12.5835
30,0.0000,12.5929
31,0.0000,12.9094
32,0.0000,13.1954
33,0.0000,13.2949
34,0.0000,13.3717
35,0.0000,13.3974
36,0.0000,13.5716
37,0.0000,13.6611
38,0.0000,13.3710
39,0.0000,12.9807
40,0.0000,12.6612
41,0.0000,12.8202
42,0.0000,13.0859
43,0.0000,13.2070
44,0.0000,13.0988
45,0.0000,12.8227
46,0.0000,13.0180
47,0.0000,13.1800
48,0.0000,13.0966
49,0.0000,12.8271
50,0.0000,12.6857
51,0.0000,12.9951
52,0.0000,13.3781
53,0.0000,13.4103
54,0.0000,13.2204
55,0.0000,12.9572
56,0.0000,12.9949
57,0.0000,13.1610
58,0.0000,13.1456
59,0.0000,12.9874
60,0.0000,12.8020
61,0.0000,13.0815
62,0.0000,13.3698
63,0.0000,13.4756
64,0.0000,13.5415
65,0.0000,13.8267
66,0.0000,13.8672
67,0.0000,13.5002
68,0.0000,13.0568
69,0.0000,12.5672
70,0.0000,12.5056
71,0.0000,12.5964
72,0.0000,12.4839
73,0.0000,12.3087
74,0.0000,12.1701
75,0.0000,12.3413
76,0.0000,12.5423
77,0.0000,12.6069
78,0.0000,12.5980
79,0.0000,12.5249
80,0.0000,12.8242
81,0.0000,12.9728
82,0.0000,12.7532
83,0.0000,12.6324
84,0.0000,12.5374
85,0.0000,12.7382
86,0.0000,12.9130
87,0.0000,12.9561
88,0.0000,12.7564
89,0.0000,12.6768
90,0.0000,12.9793
91,0.0000,13.2069
92,0.0000,13.1697
93,0.0000,12.9999
94,0.0000,12.6754
95,0.0000,12.6340
96,0.0000,12.7633
97,0.0000,12.7864
98,0.0000,12.8249
99,0.0000,12.7217
100,0.0000,12.9298
101,0.0000,13.1323
102,0.0000,12.9984
103,0.0000,12.8437
104,0.0000,12.8194
105,0.0000,13.0094
106,0.0000,13.2927
107,0.0000,13.3448
108,0.0000,13.1947
109,0.0000,12.8820
110,0.0000,12.9371
111,0.0000,13.0882
112,0.0000,13.0601
113,0.0000,12.9377
114,0.0000,12.8466
115,0.0000,13.0633
116,0.0000,13.2424
117,0.0000,13.1153
118,0.0000,12.9837
119,0.0000,12.8065
120,0.0000,12.8759
121,0.0000,12.9964
122,0.0000,12.9073
123,0.0000,12.8851
124,0.0000,12.7689
125,0.0000,12.8698
126,0.0000,13.0753
127,0.0000,13.1631
128,0.0000,12.9870
129,0.0000,12.8552
130,0.0000,13.1454
131,0.0000,13.2778
132,0.0000,13.1361
133,0.0000,13.0097
134,0.0000,12.9923
135,0.0000,13.3167
136,0.0000,13.5099
137,0.0000,13.3201
138,0.0000,13.0331
139,0.0000,12.8513
140,0.0000,12.9635
141,0.0000,13.0570
142,0.0000,12.9018
143,0.0000,12.7016
144,0.0000,12.5036
145,0.0000,12.6162
146,0.0000,12.7426
147,0.0000,12.7281
148,0.0000,12.6867
149,0.0000,12.6595
