# P90 (weapon_p90): 50 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/p90.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.py: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.1792,0.5812
3,0.0320,0.9184
4,0.2637,1.7662
5,1.0500,2.9054
6,1.9620,3.7995
7,2.7271,5.0954
8,2.0778,6.2168
9,1.3395,7.2026
10,1.1568,8.0379
11,0.9706,8.9416
12,1.2049,9.4842
13,2.1699,9.5009
14,2.5599,9.6898
15,3.0434,9.9389
16,3.8685,9.8980
17,2.9544,10.0122
18,1.7196,10.1524
19,0.9143,10.2513
20,0.1395,10.3233
21,-0.8629,10.2395
22,-1.9265,10.0157
23,-1.7109,10.2631
24,-2.0262,10.3361
25,-1.2031,10.4027
26,0.1395,10.2209
27,1.5606,9.8287
28,1.6838,9.9172
29,1.2737,10.1764
30,1.5295,10.2556
31,1.8881,10.4195
32,1.4496,10.5999
33,0.3247,10.5505
34,-0.2375,10.4936
35,0.0384,10.6525
36,0.1125,10.6659
37,1.0724,10.5474
38,1.9273,10.4766
39,1.8108,10.5877
40,0.8922,10.5753
41,-0.4929,10.2492
42,-1.1604,10.1517
43,-2.0665,10.1345
44,-3.1863,10.1551
45,-3.9875,10.1785
46,-4.7983,10.0353
47,-4.5154,10.0941
48,-3.7885,10.3496
49,-4.0010,10.1332
