# SG 553 (weapon_sg556): 30 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/sg553.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,1.0446,1.4326
3,1.5650,3.0580
4,1.9839,4.9835
5,2.4092,6.9921
6,2.7339,8.8761
7,4.1772,9.5399
8,2.8859,10.5468
9,3.5674,11.0015
10,4.5757,11.0743
11,4.7762,11.4111
12,4.3185,11.8299
13,4.7986,11.9759
14,4.5000,12.4190
15,5.6467,12.1192
16,7.0565,10.9947
17,8.0125,10.2921
18,8.1283,10.1612
19,4.9647,10.5719
20,1.1874,10.2551
21,-1.4657,9.9566
22,-1.7484,10.6941
23,-2.4215,11.5246
24,-2.5544,12.0923
25,-4.0298,11.9653
26,-5.8587,11.3572
27,-4.6903,11.8242
28,-3.6273,12.2372
29,-0.8190,11.9298
