# UMP-45 (weapon_ump45): 25 shots.
# From Artanis-RCS (MIT), github.com/ArtanisInc/Artanis-RCS,
# patterns/ump45.csv at 7387d39 (2026-05-01). Converted by
# scripts/convert_rcs_patterns.gd: the mouse moves summed and turned
# into degrees (2.45 x 0.022 per unit), then x1.3577 onto ak47.csv's
# scale. Not measured here. See README.md for how far to trust it.
# shot,x_degrees,y_degrees
0,0.0000,0.0000
1,0.0000,0.0000
2,0.3227,1.0718
3,0.4257,2.3428
4,0.7724,4.0378
5,1.4879,5.7267
6,1.6659,7.6475
7,0.8484,8.9874
8,1.1789,9.8629
9,0.5047,10.8719
10,-0.8650,11.4944
11,-1.9057,11.8003
12,-1.8959,12.0437
13,-2.2795,12.5534
14,-2.2286,12.8899
15,-2.9432,12.6630
16,-3.3384,12.5034
17,-2.3794,12.8755
18,-0.9578,13.0280
19,-0.9975,12.9097
20,-1.9862,12.4741
21,-3.2878,12.3125
22,-2.9501,12.4512
23,-1.3516,12.4154
24,-1.0518,12.3332
