name,parent,friction,elasticity,density,gamematerial,jumpfactor,maxspeedfactor,climbable,penetration_distance,penetration_damage,smoke_through
default,,0.8,0.25,2000.0,C,1.0,1.0,false,0.5,0.5,
solidmetal,,0.8,0.1,2700.0,M,,,,0.27,0.3,
metal,solidmetal,0.8,0.25,2000.0,,,,,0.4,,
metal_barrelSoundOverride,metal,0.8,0.25,2000.0,,,,,,,
metal_vehicleSoundOverride,metal,0.8,0.25,2000.0,,,,,,,
metal_survivalCase,metal,0.8,0.25,2000.0,,,,,,,
metal_survivalCase_unpunchable,metal_survivalCase,0.8,0.25,2000.0,,,,,,,
metaldogtags,solidmetal,0.8,0.25,2000.0,,,,,0.4,,
metalgrate,,0.8,0.25,1600.0,G,,,,0.95,0.99,
Metal_Box,solidmetal,0.8,0.25,2000.0,,,,,0.5,,
metal_bouncy,solidmetal,0.0,1000.0,10000.0,,,,,,,
slipperymetal,metal,0.1,0.15,2000.0,,,,,,,
grate,metalgrate,0.8,0.25,2000.0,,,,,,,
metalvent,Metal_Box,0.8,0.1,2700.0,V,,,,0.6,0.45,
metalpanel,metal,0.8,0.2,2700.0,V,,,,0.5,0.45,
dirt,,0.8,0.01,1600.0,D,,,,0.6,0.3,
mud,dirt,0.8,0.25,2000.0,11,,,,,,
slipperyslime,dirt,0.1,0.25,2000.0,,0.7,,,,,
grass,dirt,0.8,0.25,2000.0,J,,,,,,
slowgrass,dirt,0.8,0.25,2000.0,J,,1.0,,,,
sugarcane,dirt,0.8,0.25,2000.0,J,,,,,,
tile,,0.8,0.3,2700.0,T,,,,0.7,0.3,
tile_survivalCase,tile,0.8,0.25,2000.0,,,,,,,
tile_survivalCase_GIB,tile,0.8,0.25,2000.0,,,,,,,
Wood,,0.8,0.1,700.0,W,,,,0.9,0.6,
Wood_lowdensity,Wood,0.8,0.25,300.0,,,,,,,
Wood_Box,Wood,0.8,0.25,2000.0,,,,,0.9,,
Wood_Basket,Wood,0.8,0.25,2000.0,,,,,0.9,,
Wood_Crate,Wood,0.8,0.25,2000.0,,,,,0.9,,
Wood_Plank,Wood_Box,0.8,0.25,2000.0,,,,,0.85,,
Wood_Solid,Wood,0.8,0.25,2000.0,,,,,0.8,,
Wood_Furniture,Wood_Box,0.8,0.25,2000.0,,,,,,,
Wood_Panel,Wood_Crate,0.8,0.25,2000.0,,,,,,,
Wood_Dense,Wood,0.8,0.25,2700.0,13,,,,0.5,0.3,
water,,0.8,0.1,1000.0,S,,,,0.3,,
wet,,0.8,0.25,2000.0,S,,,,,,
puddle,,0.8,0.25,2000.0,10,,,,,,
slime,,0.9,0.1,2000.0,S,,,,,,
quicksand,,0.8,2.0,600.0,,,,,0.2,,
wade,water,0.8,0.25,2000.0,X,,,,,,
ladder,metal,0.8,0.25,2000.0,X,,,true,,,
Wood_Ladder,Wood,0.8,0.25,2000.0,X,,,true,0.9,,
glass,,0.5,0.2,2700.0,Y,,,,0.99,,
glassfloor,,0.8,0.2,2700.0,Y,,,,0.99,,
computer,Metal_Box,0.8,0.25,2000.0,P,,,,0.4,0.45,
weapon_magazine,computer,0.8,0.25,2000.0,M,,,,,,
concrete,no_decal,0.8,0.2,2400.0,C,,,,0.5,0.25,
asphalt,concrete,0.8,0.25,2000.0,Q,,,,0.55,0.3,
rock,concrete,0.8,0.25,2000.0,3,,,,,0.25,
porcelain,rock,0.8,0.25,2000.0,,,,,0.95,,
boulder,rock,0.8,0.25,2000.0,,,,,,,
brick,rock,0.8,0.25,2000.0,R,,,,0.47,0.3,
concrete_block,concrete,0.8,0.25,2000.0,,,,,,,
stucco,concrete,0.8,0.25,2000.0,2,,,,,,
chainlink,,0.8,0.25,1600.0,G,,,,0.99,0.99,true
chain,chainlink,0.8,0.25,2000.0,,,,,,,
flesh,,0.8,0.25,900.0,F,,,,0.9,,
bloodyflesh,flesh,0.8,0.25,2000.0,B,,,,,,
alienflesh,flesh,0.8,0.25,2000.0,H,,,,,,
armorflesh,flesh,0.8,0.25,2000.0,M,,,,0.5,0.3,
ice,,0.1,0.1,917.0,,,,,0.75,,
carpet,dirt,0.8,0.01,500.0,7,,,,0.75,,
dufflebag_survivalCase,carpet,0.8,0.25,2000.0,,,,,,,
upholstery,dirt,0.8,0.01,500.0,9,,,,0.75,,
plaster,dirt,0.8,0.25,2000.0,2,,,,0.7,0.6,
sheetrock,dirt,0.8,0.25,2000.0,5,,,,0.85,0.6,
cardboard,dirt,0.8,0.25,500.0,U,,,,0.95,0.99,
plastic_barrel,,0.8,0.01,500.0,L,,,,0.7,,
Plastic_Box,,0.8,0.01,500.0,L,,,,0.75,,
plastic,Plastic_Box,0.8,0.25,2000.0,,,,,,,
plastic_survivalCase,plastic,0.8,0.25,2000.0,,,,,,,
sand,dirt,0.8,0.25,2000.0,N,,,,0.3,0.25,
rubber,dirt,0.8,0.2,2000.0,4,,,,0.85,0.5,
rubbertire,rubber,1.0,0.25,2000.0,,,,,,,
jeeptire,rubber,1.337,0.25,2000.0,,,,,,,
slidingrubbertire,rubber,0.2,0.25,2000.0,,,,,,,
brakingrubbertire,rubber,0.6,0.25,2000.0,,,,,,,
slidingrubbertire_front,rubber,0.2,0.25,2000.0,,,,,,,
slidingrubbertire_rear,rubber,0.2,0.25,2000.0,,,,,,,
glassbottle,glass,0.4,0.3,2000.0,,,,,0.99,0.0,
pottery,glassbottle,0.4,0.3,2000.0,1,,,,0.95,0.6,
clay,tile,0.8,0.25,2000.0,1,,,,0.95,0.6,
canister,metalpanel,0.8,0.25,2000.0,,,,,,,
metal_barrel,metal,0.8,0.1,2700.0,12,,,,0.01,0.01,
metal_barrel_explodingSurvival,metal_barrel,0.8,0.25,2000.0,,,,,,,
floating_metal_barrel,metal_barrel,0.8,0.25,500.0,,,,,,,
plastic_barrel_buoyant,plastic_barrel,0.8,0.25,150.0,,,,,,,
roller,metalpanel,0.7,0.3,2000.0,,,,,,,
popcan,Metal_Box,0.3,0.99,2000.0,,,,,,,
paintcan,popcan,0.3,0.99,2000.0,,,,,,,
paper,cardboard,0.8,0.25,2000.0,,,,,,,
papercup,paper,0.8,0.1,2000.0,,,,,,,
ceiling_tile,cardboard,0.8,0.25,2000.0,,,,,,,
foliage,Wood_Solid,0.8,0.1,700.0,O,,,,0.95,,
slipperyslide,solidmetal,0.1,0.25,2000.0,,0.7,,,,,
strongman_bell,solidmetal,0.8,0.25,2000.0,,,,,,,
watermelon,wet,0.8,0.25,900.0,,,,,0.95,0.6,
item,Plastic_Box,0.8,0.25,600.0,,,,,,,
floatingstandable,dirt,0.8,0.25,800.0,,,,,,,
grenade,metalpanel,0.9,0.01,2000.0,,,,,,,
weapon,metal,0.8,0.95,2000.0,,,,,,,
metal_shield,metal,0.8,0.25,2000.0,14,,,,,,
default_silent,,0.8,0.25,2000.0,X,,,,,,
player,,0.5,0.001,1000.0,,,,,,,
player_control_clip,,0.8,0.25,2000.0,I,,,,,1.0,
no_decal,,0.8,0.25,900.0,-,,,,,,
soccerball,,0.8,0.25,900.0,-,,,,,,
gravel,rock,0.8,0.25,2000.0,,,,,0.4,,
snow,,0.8,0.25,2000.0,K,,,,0.85,,
metalvehicle,metal,0.8,0.2,2700.0,,,,,0.5,,
