# CS2 Weapon Spreadsheet, last weapon update 18 March 2026 (Simple tab), supplied by Sid 2026-09-22.
# One row per weapon and mode, values verbatim. A dash means the same as the main row of that weapon. See reference/weapons/README.md.
Category,Weapon,Price,Kill Award,Damage,Bullets,Armor Penetration,Damage Falloff @ 500U,Headshot Multiplier,Fire Rate (RPM),Penetration Power,Magazine Size,Reserve Ammo Type,Reserve Ammunition,Total Ammo,Mobility,Tagging Power,Bullet Range,Hold to Shoot,Tracers,Accurate Range Stand,Accurate Range Crouch,Standing Inaccuracy,Crouching Inaccuracy,Running Inaccuracy,Ladder Inaccuracy,Inaccuracy at Jump Apex,Inaccuracy After Landing,Inaccuracy From Firing,Recovery TimeCrouch,Recovery TimeStand,Recoil Amount,Recoil Angle Variance,Recoil Amount Variance,Recoil Pattern,Fatal Headshot Range,Fatal Headshot Range(Helmet)
Pistols,Desert Eagle,$700,$300,53,1,93.20%,15%,3.900x,266.67,200%,7,Magazines,3,28,230,60%,"4,096",No,Every Bullet,24.58m,36.46m,6.20,4.18,54.30,306.00,378.30,27.00,72.23,0.449927,0.811200,48.2,60,18,Random,"2,233.89","2,017.23"
Pistols,R8 Revolver,$600,$300,86,1,93.20%,6%,4.000x,120.00,200%,8,Magazines,2,24,180,60%,"4,096",Yes,Every Bullet,see note,see note,see note,see note,see note,24.52,55.75,#VALUE!,50.00,0.700000,0.900000,20.0,40,0,Set Pattern,"9,983.54","9,414.48"
Pistols,Revolver (Rapid Fire),-,-,-,-,-,-,-,150.00,-,-,-,-,,220,-,-,No,Every Bullet,1.91m,2.09m,80.00,73.00,116.00,138.00,133.23,122.03,55.00,-,-,45.0,50,6,Random,-,-
Pistols,Dual Berettas,$300,$300,38,1,57.50%,21%,4.000x,500.00,100%,30,Magazines,2,90,240,50%,"4,096",No,Every Bullet,16.93m,21.02m,9.00,7.25,26.85,206.00,167.42,63.65,11.16,0.437491,0.524989,27.0,20,4,Random,888.14,N/A
Pistols,Five-SeveN,$500,$300,32,1,91.15%,19%,4.000x,400.00,100%,20,Magazines,2,60,240,50%,"4,096",No,Every Bullet,13.73m,17.26m,11.10,8.83,51.10,278.00,100.80,14.28,25.00,0.200000,0.200000,25.0,5,4,Random,585.75,365.88
Pistols,Glock-18,$200,$300,30,1,47.00%,15%,4.000x,400.00,100%,20,Magazines,3,80,240,50%,"4,096",No,Every Bullet,20.05m,24.58m,7.60,6.20,17.60,276.00,95.47,10.71,56.00,0.200000,0.200000,18.0,20,0,Random,560.92,N/A
Pistols,Glock-18 (burst),-,-,-,-,-,-,-,"1,200.00",-,-,-,-,,-,-,-,No,Every Bullet,7.40m,8.47m,20.60,18.00,33.55,253.50,108.47,23.71,45.00,-,-,30.0,-,5,-,-,-
Pistols,P2000,$200,$300,35,1,50.50%,9%,4.000x,352.94,100%,13,Magazines,4,65,240,50%,"4,096",No,Every Bullet,22.09m,26.83m,6.90,5.68,19.90,278.64,101.38,23.87,50.00,0.291277,0.349532,26.0,0,0,Random,"1,783.85",N/A
Pistols,USP-S (no silencer),$200,$300,35,1,50.50%,9%,4.000x,352.94,100%,12,Magazines,2,36,240,50%,"4,096",No,Every Bullet,20.59m,24.66m,7.40,6.18,21.27,279.14,101.88,24.37,71.00,0.291277,0.349532,29.0,0,0,Random,"1,783.85",N/A
Pistols,USP-S (silencer),-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,None,23.81m,29.42m,6.40,5.18,20.27,241.30,100.88,23.60,52.00,-,-,23.0,-,-,-,-,-
