item_class,model,bone,surface,mass,linear_damping,angular_damping,volume,centre_of_mass,inertia,held_bone,points,game_volume,game_centre_of_mass,hull_frame
weapon_glock,glock18/weapon_pist_glock18.gltf,weapon_offset,,3.0,0.0,10.0,27.1681,0.0 1.0648 1.8017,5.364 4.0084 1.531 0.0 0.0 -0.8588,0.0 2.209 1.8046 -0.5 -0.5 -0.5 0.5,0.55 -1.514 0.295;0.0 1.435 6.492;0.55 1.941 5.928;0.0 -2.297 0.407;-0.55 2.607 -1.005;0.0 -1.163 -1.559;0.0 3.147 -1.538;-0.55 -0.755 -1.021;0.55 -0.755 -1.021;0.55 2.607 -1.005;-0.55 -1.514 0.295;0.55 2.628 5.91;0.0 3.171 6.448;-0.55 2.628 5.91;-0.55 1.941 5.928,27.1684,0.0 0.9405 2.0312,model
weapon_hkp2000,hkp2000/weapon_pist_hkp2000.gltf,weapon_offset,,3.0,0.0,0.0,27.429,0.0 1.7709 4.9355,5.0652 3.3746 1.8653 0.0 0.0 -0.9842,0.0 3.082 4.8742 -0.5 -0.5 -0.5 0.5,0.55 2.83 8.693;0.0 -1.575 4.238;0.0 2.339 9.232;0.55 -0.871 3.97;-0.55 -0.871 3.97;-0.55 2.83 8.693;0.55 -0.557 2.296;0.0 -1.09 1.65;-0.55 -0.557 2.296;-0.55 3.554 8.695;0.0 4.192 9.237;0.0 3.177 1.916;-0.55 3.242 2.533;0.55 3.554 8.695;0.0 4.078 2.34;0.55 3.454 2.633;-0.55 3.454 2.633;0.55 3.242 2.533,27.4291,0.0 1.9125 4.7918,model
weapon_usp_silencer,usp_silencer/weapon_pist_usp_silencer.gltf,weapon_offset,,3.0,0.0,0.0,138.9038,-0.0023 2.1841 8.2937,23.0453 20.509 3.0821 0.0243 -0.0074 -3.3509,0.0 3.1739 5.5414 -0.5 -0.5 -0.5 0.5,-0.967 -1.254 3.626;-0.25 -2.292 4.134;-0.967 -1.16 1.882;0.967 2.824 2.319;0.967 3.816 19.012;0.967 4.198 2.73;0.967 -1.669 3.899;0.967 -1.562 2.202;-0.217 -2.308 4.034;0.176 -1.929 1.333;-0.014 -2.029 1.317;0.911 3.882 19.285;-0.259 3.381 19.781;-0.09 -1.951 1.311;0.254 5.126 2.065;0.018 4.791 19.75;0.219 5.14 2.075;0.275 4.69 19.627;-0.025 2.728 1.396;0.048 2.608 1.348;-0.967 3.115 1.998;-0.967 4.499 2.443;0.134 5.095 2.077;0.08 2.637 1.351;0.254 3.445 1.562;-0.003 4.779 19.759;-0.967 4.274 18.883;-0.967 4.26 18.886,138.9054,0.0194 2.112 7.146,model
weapon_elite,elite/weapon_pist_elite.gltf,weapon,,4.0,0.0,0.0,125.2613,0.7048 0.5839 2.6181,10.913 7.2478 4.6413 0.6967 0.022 -1.6338,0.0 0.1426 1.3685 -0.5 -0.5 -0.5 0.5,-0.106 4.741 8.425;1.51 2.164 8.894;1.063 2.112 9.587;0.754 3.875 8.13;-0.059 4.791 8.305;1.008 1.921 9.516;1.05 -4.531 2.579;0.21 2.41 8.65;1.171 -4.699 2.608;1.437 -4.154 3.667;0.325 4.301 -0.631;-0.005 4.676 0.097;0.38 4.239 -0.6;-0.757 -1.26 -0.737;-0.547 4.05 -0.552;-0.605 4.158 7.535;-0.75 -1.175 -1.091;-0.545 4.234 7.906;-0.371 4.245 -0.739;0.033 3.967 -1.279;2.428 -0.557 -1.316;2.442 -0.877 -1.532;1.967 -1.008 -2.283;0.052 3.886 -1.314;-0.29 -1.617 -1.725;2.018 -4.36 2.534;1.568 2.017 8.673;1.803 -4.705 2.596;1.414 -4.912 2.196;1.454 -4.911 2.198;-0.25 -1.665 -1.74;1.946 -1.039 -2.281,125.2614,0.6797 0.635 2.6962,model
weapon_p250,p250/weapon_pist_p250.gltf,weapon_offset,,3.0,0.0,0.0,28.1538,0.0 3.4109 3.7571,5.4773 3.8488 1.803 0.0 0.0 -1.1305,0.0 4.6419 3.716 -0.5 -0.5 -0.5 0.5,-0.55 5.075 1.652;0.0 5.771 8.34;-0.55 5.139 7.805;0.0 5.699 1.372;0.55 5.075 1.652;0.55 5.139 7.805;0.55 0.842 2.488;0.0 0.202 0.43;0.0 0.224 2.867;0.55 0.829 1.059;-0.55 0.842 2.488;-0.55 0.829 1.059;-0.55 4.472 7.82;0.0 3.978 8.381;0.55 4.472 7.82;-0.55 4.164 1.055;0.0 4.255 0.425;0.55 4.164 1.055,28.1543,0.0 3.3984 3.6429,model
weapon_tec9,tec9/weapon_pist_tec9.gltf,weapon_offset,,3.0,0.0,0.0,117.261,0.146 2.8093 9.4175,14.5072 8.8251 6.0134 -0.1504 -0.0319 -0.9168,0.0 4.4076 6.995 -0.5 -0.5 -0.5 0.5,0.0 5.547 16.783;0.0 6.609 16.787;0.55 6.08 16.252;0.55 -2.801 10.659;0.0 -3.332 11.191;-0.55 -2.801 10.658;0.0 -3.354 9.606;-0.55 -2.81 9.948;0.644 -2.718 10.006;0.0 0.11 3.349;0.445 0.374 3.944;0.734 -2.351 9.561;1.326 6.439 10.67;0.56 5.966 4.3;0.806 5.734 4.615;0.0 6.102 3.569;-0.55 5.968 4.287;-0.55 0.436 4.084;-0.55 6.045 16.23;-0.55 6.05 4.399;0.0 6.685 4.371;1.318 6.479 10.535;0.027 6.715 4.528;1.237 6.5 9.501;-0.054 6.617 16.734;-0.532 6.066 16.272;0.014 6.701 4.416,117.2626,0.1602 3.2244 9.1577,model
weapon_fiveseven,fiveseven/weapon_pist_fiveseven.gltf,weapon_offset,,3.0,0.0,0.0,26.84,0.0 5.2178 1.6038,5.3915 3.8163 1.7482 0.0 0.0 -1.1044,0.0 6.4951 1.8046 -0.5 -0.5 -0.5 0.5,-0.55 6.792 -0.838;0.0 7.481 6.381;-0.55 6.849 5.836;0.0 7.416 -1.13;0.55 6.792 -0.838;0.55 6.849 5.836;-0.55 2.659 -1.038;0.0 2.065 0.701;0.0 2.029 -1.682;-0.55 2.68 0.317;0.55 2.68 0.317;0.55 2.659 -1.038;-0.55 6.517 5.834;0.0 6.01 6.372;0.55 6.517 5.834;0.55 6.6 -0.928;0.0 6.51 -1.557;-0.55 6.6 -0.928,26.8404,0.0 5.3169 1.5249,model
weapon_cz75a,cz75a/weapon_pist_cz75a.gltf,weapon_offset,,3.0,0.0,0.0,55.519,0.0 2.4988 4.6588,9.3465 6.7287 2.8029 0.0 0.0 -0.283,-0.0001 4.675 3.6345 -0.5 -0.5 -0.5 0.5,-0.55 4.871 9.44;0.0 -0.938 8.406;-0.55 -0.349 7.959;0.0 5.221 10.154;0.55 -0.349 7.959;0.55 4.871 9.44;-0.55 0.133 0.256;0.0 -0.392 -0.34;0.55 0.133 0.256;0.0 4.094 -0.054;-0.55 5.088 1.06;-0.55 3.562 0.475;0.0 5.689 0.557;0.55 5.088 1.06;0.55 3.562 0.475;0.55 4.91 9.303;0.0 5.502 9.155;-0.55 4.91 9.303,55.5192,0.0 3.0893 4.7147,model
weapon_deagle,deagle/weapon_pist_deagle.gltf,weapon_offset,,4.0,0.0,0.0,68.5308,0.0 1.9401 2.457,10.2048 7.8214 2.719 0.0 0.0 -1.7776,0.0 2.8594 1.7837 -0.5 -0.5 -0.5 0.5,0.75 4.081 8.48;0.0 4.702 -0.634;0.75 4.047 -0.393;0.0 4.739 9.018;0.75 -1.417 -1.018;0.0 -1.974 1.314;0.75 -1.414 0.838;0.0 -1.98 -1.585;0.75 2.583 -1.881;0.0 2.461 -2.542;-0.75 -1.414 0.838;-0.75 -1.417 -1.018;0.0 2.795 9.062;-0.75 3.301 8.498;-0.75 4.081 8.48;-0.75 4.047 -0.393;0.75 3.301 8.498;-0.75 3.344 -1.537;0.0 3.94 -1.874;-0.75 2.583 -1.881;0.75 3.344 -1.537,68.5315,0.0 2.0824 1.8445,model
weapon_revolver,revolver/weapon_pist_revolver.gltf,weapon_offset,,4.0,0.0,0.0,73.8203,0.0 2.1434 3.7916,10.8154 8.0407 3.2369 0.0 0.0 -3.1196,0.0 2.6298 2.9756 -0.5 -0.5 -0.5 0.5,0.0 3.037 10.275;-0.9 3.689 9.654;0.0 4.31 10.306;0.9 3.689 9.654;0.0 5.264 9.72;0.9 4.487 9.164;-0.9 4.487 9.164;0.9 -1.446 0.039;0.0 -2.098 0.66;0.0 -2.355 -1.644;0.9 -1.561 -0.988;-0.9 -1.446 0.039;-0.9 -1.561 -0.988;-0.9 4.315 1.996;0.0 5.078 1.979;0.0 4.243 0.777;-0.9 4.06 1.629;0.9 4.315 1.996;0.9 4.06 1.629;0.9 -1.301 -0.982;0.0 -0.642 -1.602;-0.9 -1.301 -0.982,73.8216,0.0 1.8784 3.2498,model
weapon_nova,nova/weapon_shot_nova.gltf,weapon_offset,,4.0,0.0,0.0,245.2492,0.0 1.8581 -1.6465,106.2485 103.6522 2.9408 0.0 0.0 -9.6732,-0.1931 5.1921 4.6109 -0.5 -0.5 -0.5 0.5,-0.75 1.607 -18.392;0.0 5.267 -3.498;-0.75 4.569 -3.646;0.0 2.163 -18.957;0.75 1.607 -18.392;0.75 4.569 -3.646;-0.75 -2.167 -18.499;0.0 -2.814 -19.098;0.75 -2.167 -18.499;0.75 3.905 20.557;0.75 1.989 15.774;0.0 1.463 16.171;-0.75 1.989 15.774;-0.75 3.905 20.557;-0.73 3.921 20.642;0.0 3.509 21.28;0.0 4.595 21.004;0.73 3.921 20.642,245.248,0.0 2.324 2.7655,model
weapon_xm1014,xm1014/weapon_shot_xm1014.gltf,weapon_offset,,4.0,0.0,0.0,232.63,0.0 1.6602 3.0997,85.2347 82.7427 2.8356 0.0 0.0 -7.3221,-0.1931 4.4509 1.0347 -0.5 -0.5 -0.5 0.5,0.0 4.756 21.297;0.75 4.117 -0.255;0.75 4.011 21.253;0.0 4.86 0.302;-0.75 4.117 -0.255;-0.75 4.011 21.253;0.75 1.989 -12.254;0.0 -2.112 -12.439;0.75 -1.443 -11.95;0.0 2.528 -12.85;-0.75 1.989 -12.254;-0.75 -1.465 -1.456;-0.75 -1.443 -11.95;0.0 -2.136 -1.169;-0.75 2.524 21.854;0.0 1.875 22.273;0.75 -1.465 -1.456;0.75 2.524 21.854;0.75 3.522 22.075;0.0 3.907 22.724;-0.75 3.522 22.075,232.6326,0.0 1.9136 5.6513,model
weapon_sawedoff,sawedoff/weapon_shot_sawedoff.gltf,weapon_offset,,4.0,0.0,0.0,130.2082,0.0 0.0153 8.7459,50.5529 49.4074 1.4791 0.0 0.0 -3.2126,-0.1931 2.177 3.4439 -0.5 -0.5 -0.5 0.5,0.0 0.648 -3.354;-0.75 -0.012 -2.998;0.0 -0.368 -3.658;0.75 -0.012 -2.998;-0.75 -2.472 -2.252;0.0 -0.809 21.903;0.0 -3.144 -1.874;-0.75 -0.089 22.026;0.0 -2.832 -2.911;0.75 -2.472 -2.252;-0.75 1.713 3.749;0.0 2.363 3.357;0.75 1.713 3.749;-0.75 1.544 22.298;0.0 2.186 22.862;0.0 -0.224 22.777;0.75 1.544 22.298;0.75 -0.079 22.041;-0.75 -0.079 22.041;0.75 -0.089 22.026,130.2103,0.0 -0.0485 9.4419,model
