class,clip,duration,kind,event,at,for
weapon_glock,draw,1.0000,,,,
weapon_glock,draw,1.0000,Sound,Weapon_Glock.Draw,0.0000,1.0000
weapon_glock,draw,1.0000,Sound,Weapon_Glock.Slideback_Q,0.3000,0.2667
weapon_glock,draw,1.0000,Sound,Weapon_Glock.Sliderelease_Q,0.5000,0.3333
weapon_glock,idle,0.0333,,,,
weapon_glock,idle_slide_back,0.0333,,,,
weapon_glock,lookat01,6.4333,,,,
weapon_glock,lookat01,6.4333,ID,WPN_INSPECT_INTRO,0.0000,1.5333
weapon_glock,lookat01,6.4333,Sound,Weapon.WeaponMove1,0.0667,0.0000
weapon_glock,lookat01,6.4333,ID,WPN_INSPECT_LOOP,1.5333,1.5000
weapon_glock,lookat01,6.4333,ID,inspect_loop_window,3.0000,0.0667
weapon_glock,lookat01,6.4333,ID,WPN_INSPECT_OUTRO,3.0333,3.4000
weapon_glock,lookat01,6.4333,Sound,Weapon.WeaponMove3,5.8333,0.0000
weapon_glock,reload,2.2667,,,,
weapon_glock,reload,2.2667,ID,WPN_RELOAD_SILENT,0.0000,0.9667
weapon_glock,reload,2.2667,Sound,Weapon_Glock.Clipout,0.4667,0.0000
weapon_glock,reload,2.2667,ID,WPN_DROP_MAG,0.5333,0.0000
weapon_glock,reload,2.2667,Sound,Weapon_Glock.Clipin,0.8333,0.0000
weapon_glock,reload,2.2667,ID,WPN_RELOAD_ADD_AMMO,0.9333,0.0000
weapon_glock,reload,2.2667,Sound,Weapon_Glock.Slideback,1.4667,0.0000
weapon_glock,reload,2.2667,Sound,Weapon_Glock.Sliderelease,1.6667,0.0000
weapon_glock,reload_empty,2.2667,,,,
weapon_glock,reload_empty,2.2667,ID,WPN_RELOAD_SILENT,0.0000,1.2334
weapon_glock,reload_empty,2.2667,Sound,Weapon_Glock.Clipout,0.4667,0.0000
weapon_glock,reload_empty,2.2667,ID,WPN_DROP_MAG,0.6000,0.0000
weapon_glock,reload_empty,2.2667,Sound,Weapon_Glock.Clipin,1.1334,0.0000
weapon_glock,reload_empty,2.2667,ID,WPN_RELOAD_ADD_AMMO,1.2667,0.0000
weapon_glock,reload_empty,2.2667,Sound,Weapon_Glock.Sliderelease,1.5334,0.0000
weapon_glock,shoot1,0.4000,,,,
weapon_glock,shoot1,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_glock,shoot1,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2667
weapon_glock,shoot1,0.4000,Particle,fps_view,0.0000,0.0000
weapon_glock,shoot_empty,0.4000,,,,
weapon_glock,shoot_empty,0.4000,Particle,shell_eject,0.0000,0.0000
weapon_glock,shoot_empty,0.4000,ID,WPN_BLOCK_INSPECT,0.0000,0.2667
weapon_glock,shoot_empty,0.4000,Particle,fps_view,0.0000,0.0000
weapon_hkp2000,draw,1.0000,,,,
weapon_hkp2000,draw,1.0000,Sound,Weapon_hkp2000.Draw,0.0000,1.0000
weapon_hkp2000,draw,1.0000,Sound,Weapon_hkp2000.Slideback_Q,0.3000,0.3333
weapon_hkp2000,draw,1.0000,Sound,Weapon_hkp2000.Sliderelease_Q,0.4667,0.1667
weapon_hkp2000,idle,0.0000,,,,
weapon_hkp2000,idle_slide_back,0.0000,,,,
weapon_hkp2000,lookat01,6.4333,,,,
