class,field,value
weapon_glock,_base,weapon_glock_prefab
weapon_glock,_class,weapon_glock
weapon_glock,_not_pickable,1
weapon_glock,m_GearSlot,GEAR_SLOT_PISTOL
weapon_glock,m_GearSlotPosition,0
weapon_glock,m_WeaponType,WEAPONTYPE_PISTOL
weapon_glock,m_bAllowFlipping,true
weapon_glock,m_bAutoSwitchFrom,true
weapon_glock,m_bAutoSwitchTo,true
weapon_glock,m_bBuiltRightHanded,true
weapon_glock,m_bCannotShootUnderwater,false
weapon_glock,m_bHasBurstMode,true
weapon_glock,m_bHideViewModelWhenZoomed,false
weapon_glock,m_bIsFullAuto,false
weapon_glock,m_bIsRevolver,false
weapon_glock,m_bMeleeWeapon,false
weapon_glock,m_bReserveAmmoAsClips,true
weapon_glock,m_bUnzoomsAfterShot,false
weapon_glock,m_eSilencerType,WEAPONSILENCER_NONE
weapon_glock,m_flArmorRatio,0.94
weapon_glock,m_flAttackMovespeedFactor,1.0
weapon_glock,m_flCycleTime,0.15|0.3
weapon_glock,m_flCycleTimeWhenInBurstMode,0.5
weapon_glock,m_flDeployDuration,1.0
weapon_glock,m_flDisallowAttackAfterReloadStartDuration,2.266667
weapon_glock,m_flFlinchVelocityModifierLarge,0.5
weapon_glock,m_flFlinchVelocityModifierSmall,0.65
weapon_glock,m_flHeadshotMultiplier,4.0
weapon_glock,m_flInaccuracyAltSoundThreshold,0.0
weapon_glock,m_flInaccuracyCrouch,0.0042|0.003
weapon_glock,m_flInaccuracyFire,0.056|0.045
weapon_glock,m_flInaccuracyJump,0.08787|0.08787
weapon_glock,m_flInaccuracyJumpApex,0.0
weapon_glock,m_flInaccuracyJumpInitial,0.09662
weapon_glock,m_flInaccuracyLadder,0.137|0.11925
weapon_glock,m_flInaccuracyLand,0.000185|0.000185
weapon_glock,m_flInaccuracyMove,0.01|0.01295
weapon_glock,m_flInaccuracyPitchShift,0.0
weapon_glock,m_flInaccuracyReload,0.0
weapon_glock,m_flInaccuracyStand,0.0056|0.0056
weapon_glock,m_flMaxSpeed,240.0|240.0
weapon_glock,m_flPenetration,1.0
weapon_glock,m_flRange,4096.0
weapon_glock,m_flRangeModifier,0.85
weapon_glock,m_flRecoilAngle,0.0|0.0
weapon_glock,m_flRecoilAngleVariance,20.0|20.0
weapon_glock,m_flRecoilMagnitude,18.0|30.0
weapon_glock,m_flRecoilMagnitudeVariance,0.0|5.0
weapon_glock,m_flRecoveryTimeCrouch,0.2
weapon_glock,m_flRecoveryTimeCrouchFinal,0.33
